date,ipx,pbi,icgg
1996-03-01,42.0515991030882,47884.6254354263,3748.4216950843365
1996-06-01,42.56704224136249,51913.6802841099,4460.093969608337
1996-09-01,40.022220006474136,50072.6007893094,3921.0264267123234
1996-12-01,41.599073188283334,51138.3832151705,4056.83258749322
1997-03-01,42.334471786451395,50364.8714654994,4197.26427434917
1997-06-01,42.73490062631746,56186.4675773475,4580.537409133866
1997-09-01,43.57059166468506,53279.5825537357,4189.979239225833
1997-12-01,41.066224753124835,54197.3697924744,4320.3067069047165
1998-03-01,39.60887045289946,51486.8762910731,4293.5973900448735
1998-06-01,39.7780824846225,54478.7931775254,4328.156312321979
1998-09-01,38.46032141975093,53514.8455470799,4173.669730145037
1998-12-01,36.1547338764887,53709.4783769102,4007.6899526049165
1999-03-01,35.794827383178664,51214.6336370812,3956.5644278807736
1999-06-01,34.760182064365836,55517.781013156,3885.9579126195263
1999-09-01,35.6307951230069,53196.0898080476,3762.644409932687
1999-12-01,37.60514132894097,56448.2361722294,4185.100131556513
2000-03-01,37.921183325405565,54674.8223764209,4139.3717853278
2000-06-01,36.79946108257237,58255.5507054466,4271.39675414207
2000-09-01,37.85630680079456,54621.7511351727,3981.302146324633
2000-12-01,37.12918361454174,54654.5831316539,4242.448553897987
2001-03-01,36.879360288054365,51760.3669761745,3820.9094551382
2001-06-01,35.927558008161434,58431.0640912253,3948.9838595326532
2001-09-01,36.1119142872724,56119.6473108455,3917.0503968147236
2001-12-01,35.54885911892233,57268.497372373,3954.236519602877
2002-03-01,36.3449569032406,55137.7411989528,3647.9179016087933
2002-06-01,38.052019911079334,62307.2267834046,4262.61002934943
2002-09-01,38.61275823820777,58404.3544652876,4496.298218285487
2002-12-01,39.496587873492565,59923.6246813338,4344.542052120077
2003-03-01,40.381020544592666,58249.270140964,4288.978577350656
2003-06-01,39.620067706790564,65202.488111194,4523.7216562179465
2003-09-01,41.90034288852707,60551.6834730799,4527.280321946339
2003-12-01,45.0576961707334,61589.1720277519,4767.609829612057
2004-03-01,51.18488782654594,60913.815574515,4585.67377266303
2004-06-01,52.236793907104534,67639.7128672909,5093.201987255737
2004-09-01,52.138291367847806,63145.7528506701,4860.8194804361
2004-12-01,55.7278913623538,66070.5049405968,4943.774147743004
2005-03-01,58.06055693316893,64340.8894127658,5145.0587887286965
2005-06-01,60.6749549803068,71310.3676198867,6162.641748484554
2005-09-01,63.523238264424435,67229.8261868521,5249.889865913667
2005-12-01,67.71699346845143,71090.0706672864,5706.945272503501
2006-03-01,73.68335746144457,69670.7640688162,6475.2488168340205
2006-06-01,88.25921612351554,75823.9354937986,7885.7940827375905
2006-09-01,92.22560107803967,72806.2690644193,6843.21857281748
2006-12-01,91.44000011395826,76296.8621833945,7010.85012773205
2007-03-01,92.6014044943169,73354.118,7069.573756633873
2007-06-01,102.12846300024,80625.953,9380.54363316534
2007-09-01,101.857107845968,80699.632,7713.157908091846
2007-12-01,103.41302465947534,85013.297,7628.9367690120125
2008-03-01,108.49518393715933,80796.3110951608,7938.45961339549
2008-06-01,114.03863098531299,89117.7139999984,9572.60277805105
2008-09-01,107.06745101515467,88430.240999998,8470.680650335218
2008-12-01,80.01897514420743,90525.7339497542,7667.33245221978
2009-03-01,76.67774584278857,82892.2081445808,7094.1343588538
2009-06-01,84.38495191730304,88463.962000002,7788.5611884993305
2009-09-01,92.65246103722912,88341.3289999977,6970.342428186686
2009-12-01,104.24423247553534,92995.5009058618,7521.255873203249
2010-03-01,110.01389857836567,87436.7171800608,8696.017946078844
2010-06-01,114.447522237137,96793.1180000031,9513.137471663924
2010-09-01,115.14757550215533,96794.9929999976,8398.990793616025
2010-12-01,127.77326845849568,101056.171820388,8822.428574184027
2011-03-01,139.30822968335465,94793.5222929377,10016.308639358753
2011-06-01,146.5045675346813,101908.285000004,11213.001780353923
2011-09-01,147.9381682595437,102420.281999997,9546.22601000076
2011-12-01,138.451055885561,107133.910718154,9716.361287591986
